ID,Date_time,Pitch_angle,Hub_temperature,Generator_converter_speed,Generator_speed,Generator_bearing_1_temperature,Generator_bearing_2_temperature,Generator_stator_temperature,Gearbox_bearing_1_temperature,Gearbox_bearing_2_temperature,Gearbox_inlet_temperature,Gearbox_oil_sump_temperature,Nacelle_angle,Nacelle_temperature,Absolute_wind_direction,Outdoor_temperature,Grid_frequency,Grid_voltage,Rotor_speed,Rotor_bearing_temperature,Absolute_wind_direction_c,Nacelle_angle_c,TARGET
462812,875.0,92.410004,3.51,4.0799999,0.039999999,0.80000001,-0.30000001,-2.26,-2.9000001,-2.4100001,-4.4000001,-1.9299999,63.639999,-0.81,63.029999,-8.3500004,49.98,679.15002,0.0,-3.8,63.029999,63.639999,-4.11299989
462818,881.0,92.410004,3.1900001,4.1700001,0.44999999,0.54000002,-0.60000002,-2.3,-3.0999999,-2.6199999,-4.6999998,-2.01,63.639999,-1.41,61.209999,-8.04,49.990002,681.94,0.0,-3.9000001,61.209999,63.639999,-3.486
462824,887.0,92.410004,2.78,4.1500001,0.1,0.41999999,-0.69999999,-2.3399999,-3.2,-2.7,-4.6199999,-2.25,63.639999,-1.01,51.459999,-7.9299998,49.990002,686.5,0.0,-4.0900002,51.459999,63.639999,-4.322
462830,893.0,92.410004,2.96,4.1700001,0.14,0.30000001,-0.73000002,-2.49,-3.4000001,-2.9000001,-4.6999998,-2.2,62.540001,-0.87,54.080002,-8.7299995,49.98,686.09003,0.0,-4.1900001,54.080002,62.540001,-3.33199989
462836,899.0,92.410004,3.99,4.1900001,0.07,0.2,-0.99000001,-2.51,-3.51,-3.0,-5.1799998,-2.2,62.540001,-2.0699999,51.419998,-9.8299999,49.98,686.13,0.0,-4.3600001,51.419998,62.540001,-4.245000000000001
462842,905.0,92.410004,4.0,4.25,-0.0099999998,-0.1,-1.28,-2.5999999,-3.8,-3.21,-5.52,-2.3699999,62.540001,-1.3200001,71.639999,-9.6400003,49.950001,678.02002,0.0,-4.5999999,71.639999,62.540001,-3.772
462848,911.0,92.410004,3.8699999,4.3600001,0.079999998,-0.30000001,-1.5599999,-2.8,-4.0100002,-3.47,-5.8000002,-2.53,57.889999,-2.6700001,46.139999,-10.06,49.990002,690.96997,0.0,-4.6999998,46.139999,57.889999,-3.68400011
462854,917.0,92.410004,2.26,4.3800001,0.0,-0.47999999,-1.98,-2.9000001,-4.25,-3.5999999,-6.0700002,-2.8499999,65.800003,-2.3499999,68.809998,-9.0799999,49.970001,686.07001,0.0,-4.9200001,68.809998,65.800003,-4.487000110000001
462860,923.0,92.410004,3.1800001,4.4299998,0.050000001,-0.60000002,-2.0999999,-3.0999999,-4.3600001,-3.6500001,-5.7800002,-2.76,71.32,-1.97,67.199997,-7.4499998,49.970001,689.88,0.0,-5.04,67.199997,71.32,-3.34300011
462866,929.0,92.410004,3.03,4.4200001,0.36000001,-0.60000002,-2.0999999,-3.1900001,-4.3000002,-3.5999999,-5.5700002,-2.8699999,61.0,-1.9,43.119999,-7.4899998,49.98,690.08002,0.0,-5.1500001,43.119999,61.0,-4.88300022
462872,935.0,92.410004,3.24,4.2800002,7.0,-0.31999999,-1.9400001,-3.2,-3.98,-3.49,-4.8699999,-2.8,49.369999,0.059999999,61.07,-6.02,49.970001,691.90002,0.0,-4.9299998,61.07,49.369999,-3.26599989
462878,941.0,92.410004,1.27,5.21,2.3099999,-0.1,-1.64,-3.2,-3.5,-3.2,-3.9200001,-2.8800001,49.369999,-0.56999999,43.09,-4.8600001,0.0,0.0,0.0,-4.6199999,43.09,49.369999,0.1
462884,957.0,92.410004,2.01,6.1999998,5.9699998,-1.25,-2.52,-3.1300001,-2.8399999,-2.7,-2.24,-2.8900001,37.290001,1.63,44.720001,-3.0899999,50.009998,695.34003,0.0099999998,-3.5899999,44.720001,37.290001,-5.11399978
462890,963.0,92.410004,3.8499999,4.1999998,5.9000001,-0.079999998,-1.34,-2.9000001,-2.5,-2.4000001,-1.8,-2.79,42.779999,1.73,48.619999,-2.79,50.0,694.63,0.0,-3.29,48.619999,42.779999,-5.003999890000001
462896,969.0,92.410004,4.0,4.3600001,5.8800001,0.75999999,-0.56999999,-2.8,-2.2,-2.29,-2.1900001,-2.5999999,42.779999,1.38,49.900002,-5.4000001,50.009998,693.60999,0.0,-3.2,49.900002,42.779999,-3.3650001100000004
462902,975.0,92.410004,4.0,4.0500002,3.6500001,1.23,-0.050000001,-2.5999999,-2.2,-2.1300001,-2.5999999,-2.54,42.779999,0.76999998,48.369999,-5.3699999,50.0,686.90997,0.0,-3.2,48.369999,42.779999,-3.2769998900000004
462908,981.0,92.410004,4.0300002,3.97,3.6900001,1.4,0.2,-2.5,-2.1700001,-2.0999999,-2.72,-2.5,42.779999,0.49000001,50.5,-4.8000002,50.02,690.12,0.0,-3.2,50.5,42.779999,-4.46500011
462914,987.0,92.410004,4.0,4.6399999,1.25,1.6,0.44,-2.3,-2.2,-2.1099999,-2.7,-2.5,59.25,1.14,48.490002,-4.5999999,49.98,681.28003,0.0,-3.2,48.490002,59.25,-3.85999989
462920,993.0,92.410004,5.0,4.3899999,0.79000002,1.7,0.50999999,-2.2,-2.23,-2.0999999,-2.5999999,-2.5,64.730003,0.92000002,53.34,-4.4200001,49.970001,689.13,0.0,-3.2,53.34,64.730003,-2.9909998900000003
462926,999.0,92.410004,4.1900001,5.6599998,3.25,1.87,0.60000002,-2.0,-2.2,-2.0999999,-2.5999999,-2.5,61.439999,0.38,58.049999,-4.0300002,49.990002,698.28003,0.0,-3.1099999,58.049999,61.439999,-3.13400011
462932,1005.0,92.410004,4.0900002,5.54,2.4100001,1.98,0.79000002,-1.91,-2.0,-2.03,-2.4000001,-2.5,61.439999,1.41,53.130001,-4.0,50.0,688.82001,0.0,-3.0,53.130001,61.439999,-4.640999890000001
462938,1011.0,92.410004,4.6199999,4.0,8.4799995,2.0899999,0.89999998,-1.76,-1.9,-2.0,-2.4000001,-2.5,46.07,1.13,49.25,-4.0999999,49.959999,695.03998,0.0099999998,-3.0,49.25,46.07,-3.26599989
462944,1017.0,92.410004,4.4200001,5.4200001,7.5799999,2.23,1.09,-1.64,-1.6799999,-1.8,-2.4000001,-2.47,49.369999,0.56999999,47.240002,-4.0700002,49.98,685.65997,0.0099999998,-2.99,47.240002,49.369999,-3.4970000000000003
462950,1023.0,92.410004,4.77,4.4099998,7.3800001,2.3,1.15,-1.5,-1.47,-1.76,-2.3399999,-2.46,48.27,1.35,45.389999,-3.8199999,49.950001,692.5,0.02,-2.9200001,45.389999,48.27,-4.223000110000001
462956,1029.0,92.410004,4.6199999,4.8099999,6.77,2.5,1.35,-1.4,-1.39,-1.6,-2.29,-2.3199999,54.860001,1.46,56.080002,-4.0,49.990002,695.94,0.0,-2.9000001,56.080002,54.860001,-3.4200000000000004
462962,1035.0,92.410004,5.0999999,6.3400002,13.8,2.5999999,1.41,-1.21,-1.11,-1.5,-2.3699999,-2.3,61.5,0.72000003,62.560001,-4.29,50.0,691.75,0.050000001,-2.79,62.560001,61.5,-3.475
462968,1041.0,92.410004,5.3000002,5.0599999,12.04,2.5999999,1.47,-1.2,-0.99000001,-1.49,-2.6099999,-2.3,66.029999,1.08,69.410004,-4.5100002,50.009998,696.59003,0.059999999,-2.73,69.410004,66.029999,-4.322
462974,1047.0,92.410004,5.0,5.2800002,7.6199999,2.76,1.6,-1.1,-0.88999999,-1.3,-2.7,-2.3,64.730003,1.04,61.98,-4.5999999,50.0,700.46997,0.0099999998,-2.7,61.98,64.730003,-3.233
462980,1053.0,92.410004,5.1399999,5.79,13.27,2.8,1.6,-1.05,-0.80000001,-1.3,-2.8900001,-2.3,68.029999,0.41,71.120003,-4.5,49.990002,694.26001,0.039999999,-2.7,71.120003,68.029999,-4.145999890000001
462986,1059.0,92.410004,4.6599998,5.1999998,9.7600002,2.8,1.4299999,-0.91000003,-0.80000001,-1.3,-2.96,-2.27,68.029999,1.24,72.339996,-4.8299999,49.990002,705.20001,0.02,-2.7,72.339996,68.029999,-3.62900011
462992,1065.0,92.410004,4.9699998,5.1199999,8.3199997,2.8,1.48,-0.89999998,-0.80000001,-1.3,-3.3,-2.24,68.029999,0.41,71.400002,-5.0500002,49.98,702.75,0.029999999,-2.71,71.400002,68.029999,-3.5959998900000003
462998,1071.0,92.410004,4.9899998,4.5999999,10.31,2.78,1.4,-0.88,-0.85000002,-1.3,-3.28,-2.23,54.860001,0.37,63.189999,-4.8800001,49.990002,695.44,0.02,-2.7,63.189999,54.860001,-3.94800011
463004,1077.0,92.410004,5.1799998,5.5900002,8.5699997,2.8,1.4,-0.83999997,-0.80000001,-1.3,-3.05,-2.23,64.730003,1.41,60.09,-4.0300002,49.990002,699.15002,0.02,-2.6800001,60.09,64.730003,-2.936
463010,1083.0,92.410004,5.1300001,7.1999998,10.0,2.9000001,1.6,-0.80000001,-0.73000002,-1.2,-2.28,-2.2,69.040001,1.26,56.619999,-3.1700001,49.98,697.09003,0.050000001,-2.4000001,56.619999,69.040001,-3.211
463016,1089.0,92.410004,5.9299998,7.0300002,5.0999999,3.21,1.72,-0.66000003,-0.58999997,-1.02,-1.61,-2.04,62.540001,1.45,54.970001,-2.53,49.990002,694.34003,0.0,-2.26,54.970001,62.540001,-3.805
463022,1095.0,92.410004,6.0,4.3400002,4.1199999,3.4000001,2.0,-0.60000002,-0.5,-0.99000001,-0.94,-2.01,57.349998,2.8800001,66.760002,-2.1400001,49.990002,689.41998,0.0,-1.98,66.760002,57.349998,-3.728
463028,1101.0,92.410004,5.4000001,5.48,9.3000002,3.6900001,2.3,-0.49000001,-0.44999999,-0.81999999,-0.69999999,-1.9,70.93,2.71,74.709999,-2.4400001,49.990002,693.23999,0.02,-1.6,74.709999,70.93,-3.992
463034,1107.0,92.410004,6.02,5.1999998,6.0500002,3.9000001,2.5999999,-0.28999999,-0.47999999,-0.69999999,-0.60000002,-1.9,74.610001,2.27,73.730003,-1.6900001,49.970001,691.54999,0.0099999998,-1.4299999,73.730003,74.610001,-3.07900011
463040,1113.0,92.410004,5.7199998,3.76,12.45,3.98,2.8,-0.19,-0.30000001,-0.62,-0.69,-1.52,70.220001,1.87,75.410004,-3.51,49.950001,692.62,0.02,-1.3,75.410004,70.220001,-4.090999890000001
463046,1119.0,92.410004,5.8000002,5.1300001,2.3800001,3.9000001,2.8,-0.0099999998,-0.30000001,-0.66000003,-1.52,-1.7,77.900002,1.9,75.629997,-4.52,50.0,690.84998,0.0,-1.48,75.629997,77.900002,-4.025
463052,1125.0,92.410004,5.7800002,4.0500002,10.08,3.78,2.6600001,0.02,-0.47999999,-0.69999999,-2.3,-1.6799999,86.68,1.51,86.040001,-5.7399998,50.0,694.94,0.029999999,-1.5,86.040001,86.68,-3.1890000000000005
463058,1131.0,92.410004,4.5999999,4.4699998,0.66000003,3.5999999,2.5,0.039999999,-0.54000002,-0.89999998,-2.9000001,-1.7,98.760002,0.2,92.150002,-6.6999998,49.970001,687.90997,0.0,-1.6,92.150002,98.760002,-2.84800011
463064,1137.0,92.410004,4.8200002,4.04,8.0500002,3.2,2.05,0.0,-0.89999998,-1.0,-3.0599999,-1.65,98.760002,0.2,103.31,-7.23,49.98,687.34003,0.0,-1.8,103.31,98.760002,-4.014000000000001
463070,1143.0,92.410004,3.8299999,4.1700001,0.0099999998,2.8699999,1.9,-0.19,-1.2,-1.28,-3.22,-1.6900001,98.760002,0.69999999,95.730003,-7.5,49.970001,688.0,0.0,-2.0,95.730003,98.760002,-3.508
463076,1149.0,92.410004,4.0,4.27,0.0,2.5999999,1.6,-0.2,-1.52,-1.5,-3.2,-1.6900001,98.760002,-0.25999999,86.239998,-7.6999998,49.98,688.46002,0.0,-2.0599999,86.239998,98.760002,-3.26599989
463082,1155.0,92.410004,3.8599999,4.3299999,-0.0099999998,2.3599999,1.38,-0.30000001,-1.9,-1.6,-3.3,-1.6799999,98.760002,0.23999999,103.52,-7.6199999,49.959999,692.75,0.0,-2.1099999,103.52,98.760002,-4.453999890000001
463088,1161.0,92.410004,4.6500001,7.6300001,2.6099999,2.25,1.16,-0.44999999,-2.0699999,-1.79,-3.46,-1.8099999,98.760002,0.2,115.51,-6.8499999,49.970001,685.46997,0.0,-2.3,115.51,98.760002,-3.05699989
463094,1167.0,92.410004,4.0,4.4699998,-0.0099999998,2.24,1.1,-0.5,-2.0,-1.8,-3.3,-1.9,76.43,-0.16,82.900002,-8.0,49.98,688.12,0.0,-2.3099999,82.900002,76.43,-4.355000220000001
463100,1173.0,92.410004,4.0999999,4.4899998,0.029999999,2.1700001,0.80000001,-0.60000002,-2.3,-2.0,-3.79,-1.9,74.610001,0.18000001,82.949997,-8.6000004,49.98,690.08002,0.0,-2.4300001,82.949997,74.610001,-3.6620001100000006
463106,1179.0,92.410004,4.0,4.5,0.17,1.95,0.54000002,-0.75,-2.5,-2.0999999,-4.23,-1.9400001,74.610001,-0.68000001,83.599998,-8.3199997,49.990002,693.23999,0.0,-2.5999999,83.599998,74.610001,-3.10100011
463112,1185.0,92.410004,4.0,4.5100002,0.0,1.84,0.30000001,-0.88999999,-2.6199999,-2.3,-4.3699999,-1.9299999,74.610001,-0.11,77.169998,-8.1000004,49.990002,692.98999,0.0,-2.7,77.169998,74.610001,-4.828000000000001
463118,1191.0,92.410004,3.8,4.52,5.3600001,1.7,0.28,-0.98000002,-2.5999999,-2.3,-4.1300001,-2.0,74.610001,-0.41,86.889999,-8.3199997,49.970001,679.85999,0.0,-2.8800001,86.889999,74.610001,-3.57399989
463124,1197.0,92.410004,4.0,4.5300002,0.07,1.62,0.2,-1.11,-2.6600001,-2.3800001,-4.0999999,-2.0,99.860001,-0.75999999,103.26,-8.0200005,49.950001,682.03998,0.0,-2.9000001,103.26,99.860001,-4.619000000000001
463130,1203.0,92.410004,4.0,4.5500002,0.0,1.6,0.15000001,-1.2,-2.9000001,-2.5599999,-4.0999999,-2.1500001,99.860001,0.13,103.48,-7.71,50.0,692.62,0.0,-3.0,103.48,99.860001,-3.981
463136,1209.0,92.410004,3.95,4.5599999,0.0,1.5700001,0.0,-1.22,-2.99,-2.5999999,-4.0500002,-2.1900001,116.32,-0.41999999,130.39,-7.1999998,50.009998,687.21002,0.0,-3.1199999,130.39,116.32,-3.33199989
463142,1215.0,92.410004,4.0,4.6300001,0.0099999998,1.4400001,0.0,-1.4,-3.0999999,-2.6400001,-3.9000001,-2.22,132.78,-0.20999999,137.12,-6.0500002,50.02,689.38,0.0,-3.2,137.12,132.78,-3.9040001100000006
463148,1221.0,92.410004,4.0,4.5500002,0.029999999,1.6,0.2,-1.4,-3.0999999,-2.6300001,-3.5,-2.2,132.78,0.95999998,127.43,-5.9499998,50.0,692.96002,0.0,-3.0,127.43,132.78,-3.12300011
463154,1227.0,92.410004,4.0,4.46,0.0,1.86,0.37,-1.4,-2.9200001,-2.5999999,-2.49,-2.28,132.78,1.46,129.84,-3.6600001,49.990002,683.09003,0.0,-2.6600001,129.84,132.78,-3.508
463160,1233.0,92.410004,4.5500002,4.3600001,0.079999998,2.2,0.80000001,-1.38,-2.5999999,-2.3099999,-1.02,-2.5899999,103.15,2.9100001,104.26,-2.77,49.959999,686.09998,0.0,-2.1400001,104.26,103.15,-4.12399989
463166,1239.0,92.410004,5.8899999,4.25,0.0099999998,2.76,1.36,-1.1799999,-2.22,-2.0,0.23999999,-2.5,103.15,4.23,94.190002,-1.2,49.98,683.10999,0.0,-1.6,94.190002,103.15,-3.97
463172,1245.0,92.410004,6.0,4.1199999,-0.02,3.55,2.02,-0.89999998,-1.6900001,-1.5,1.4,-2.3,81.199997,5.3699999,82.0,-1.34,50.009998,690.64001,0.0,-1.05,82.0,81.199997,-3.4530000000000003
463178,1251.0,92.410004,6.0,4.02,0.15000001,4.25,2.8,-0.58999997,-1.17,-1.1799999,1.99,-1.78,81.199997,4.9899998,92.25,-2.6099999,49.990002,688.84003,0.0,-0.69,92.25,81.199997,-3.981
463184,1257.0,92.410004,6.5900002,3.96,0.0,4.6300001,3.4000001,-0.2,-0.89999998,-0.85000002,1.51,-1.9,103.15,3.6099999,92.360001,-4.4899998,49.959999,684.26001,0.0,-0.47999999,92.360001,103.15,-3.82699989
463190,1263.0,92.410004,6.9000001,3.99,0.0,4.6100001,3.5999999,0.029999999,-0.89999998,-0.69999999,0.13,-1.64,103.15,2.54,90.440002,-5.04,50.0,687.16998,0.0,-0.62,90.440002,103.15,-4.025
463196,1269.0,92.410004,7.0,4.0500002,0.0,4.3000002,3.4000001,0.12,-0.89999998,-0.75,-0.92000002,-1.7,103.15,2.2,91.470001,-5.6199999,50.0,690.12,0.0,-0.69999999,91.470001,103.15,-3.706
463202,1275.0,92.410004,6.4899998,4.0799999,0.0,3.97,3.0899999,0.28999999,-1.1,-0.89999998,-1.6,-1.45,103.15,1.28,92.839996,-6.1900001,49.990002,692.09003,0.0,-0.89999998,92.839996,103.15,-3.1890000000000005
463208,1281.0,92.410004,6.0500002,4.1300001,0.50999999,3.5999999,2.5999999,0.30000001,-1.2,-1.0,-2.0999999,-1.42,103.15,0.41,99.300003,-6.4000001,49.970001,686.06,0.0,-1.0,99.300003,103.15,-3.4640000000000004
463214,1287.0,92.410004,5.0,4.21,0.0099999998,3.3,2.2,0.11,-1.4,-1.22,-2.3900001,-1.5,103.15,1.0599999,98.32,-6.1999998,49.970001,688.39001,0.0,-1.2,98.32,103.15,-3.75
463220,1293.0,92.410004,4.0700002,4.23,0.0,2.9000001,1.96,0.1,-1.55,-1.3,-2.6900001,-1.5,103.15,0.23,91.239998,-6.3299999,49.970001,685.83002,0.0,-1.3,91.239998,103.15,-3.244
463226,1299.0,92.410004,4.0,4.2600002,0.0,2.8,1.7,0.0,-1.84,-1.5,-2.5999999,-1.5,103.15,0.94,113.35,-4.6199999,49.939999,687.35999,0.0,-1.5,113.35,103.15,-3.97
463232,1305.0,92.410004,4.8299999,10.87,6.1500001,2.8900001,1.7,0.0,-1.7,-1.5,-2.3,-1.51,103.15,1.51,105.53,-5.1300001,49.959999,687.81,0.0,-1.5,105.53,103.15,-3.2
463238,1311.0,92.410004,4.3299999,12.06,7.8200002,3.0999999,1.9,0.0,-1.38,-1.3,-2.1600001,-1.5,92.690002,0.87,81.529999,-5.73,49.959999,686.04999,0.0099999998,-1.5,81.529999,92.690002,-3.33199989
463244,1317.0,92.410004,5.0,4.4899998,0.0,3.0799999,1.91,0.0,-1.4,-1.4400001,-2.3,-1.5700001,111.93,1.42,108.49,-4.3499999,49.98,692.54999,0.0,-1.6,108.49,111.93,-3.695
463250,1323.0,92.410004,5.3400002,16.719999,12.45,2.9000001,1.9,0.0,-1.4400001,-1.34,-2.3800001,-1.67,87.779999,0.64999998,97.699997,-6.0,49.990002,687.14001,0.02,-1.6,97.699997,87.779999,-3.0680001100000003
463256,1329.0,92.410004,5.5500002,13.33,8.4899998,2.9000001,1.9,-0.029999999,-1.4,-1.49,-2.6099999,-1.67,88.120003,0.50999999,92.790001,-4.5700002,50.0,691.03003,0.0,-1.8,92.790001,88.120003,-4.267000000000001
463262,1335.0,92.410004,6.21,4.5500002,0.0,2.9100001,1.9,-0.12,-1.5,-1.5,-2.1600001,-1.6900001,107.54,1.79,111.9,-3.3599999,50.02,688.81,0.0,-1.8,111.9,107.54,-3.233
463268,1341.0,92.410004,7.0,4.5799999,0.0,3.0999999,1.9,-0.02,-1.6,-1.5,-1.6,-1.66,107.54,1.55,116.13,-3.1600001,50.0,687.90002,0.0,-1.8,116.13,107.54,-3.13400011
463274,1347.0,92.410004,6.8000002,4.5999999,0.0,3.3,2.02,0.0,-1.6900001,-1.4,-1.41,-1.7,107.54,1.42,115.44,-2.78,50.0,686.87,0.0,-1.71,115.44,107.54,-3.475
463280,1353.0,92.410004,6.98,4.6199999,-0.12,3.4000001,2.2,0.0099999998,-1.66,-1.3,-1.0,-1.7,107.54,2.27,121.64,-1.1,49.959999,683.31,0.0,-1.6,121.64,107.54,-4.003000000000001
463286,1359.0,92.410004,6.8600001,4.5900002,0.0,3.6500001,2.48,0.1,-1.5,-1.25,-0.64999998,-1.6900001,134.98,3.1400001,144.78,-0.47999999,49.990002,683.62,0.0,-1.59,144.78,134.98,-3.255
463292,1365.0,92.410004,7.0599999,7.5300002,2.5599999,4.0,2.8,0.30000001,-1.21,-1.11,-0.029999999,-1.49,158.03,3.9000001,161.41,2.1800001,49.98,687.87,0.0,-1.25,161.41,158.03,-2.9909998900000003
463298,1371.0,92.410004,7.0,4.2600002,0.0,4.5500002,3.3,0.52999997,-0.89999998,-0.89999998,1.34,-1.39,158.03,4.98,170.34,3.71,49.990002,692.0,0.0,-0.61000001,170.34,158.03,-2.881
463304,1377.0,92.410004,8.1899996,4.1500001,0.0,5.1900001,3.9100001,0.75,-0.5,-0.57999998,2.8299999,-1.22,158.03,6.3000002,254.89,4.3200002,49.959999,695.09003,0.0,0.28999999,254.89,158.03,-2.72699989
463310,1383.0,92.410004,7.9899998,4.02,0.28,5.96,4.6100001,1.16,0.1,-0.1,4.1500001,-1.0700001,298.51001,6.96,295.73999,4.5599999,49.990002,688.15997,0.0,1.1,295.73999,298.51001,-3.739
463316,1389.0,92.410004,7.5599999,3.97,0.0,6.8000002,5.4899998,1.53,0.83999997,0.49000001,5.9699998,-0.60000002,298.51001,8.6000004,61.400002,6.1500001,49.990002,688.82001,0.0,1.91,61.400002,298.51001,-2.6940000000000004
463322,1395.0,92.410004,8.0,3.8699999,0.0,7.5999999,6.3000002,2.02,1.49,1.0599999,7.0700002,-0.5,298.51001,8.8999996,355.01999,5.77,49.990002,683.77002,0.0,2.5899999,355.01999,298.51001,-2.47399989
463328,1401.0,92.410004,8.8199997,3.8,0.0,8.3000002,6.9499998,2.5,2.0,1.53,6.8200002,-0.25,298.51001,8.7700005,100.71,1.6,50.0,679.85999,0.0,2.9400001,100.71,298.51001,-3.38700011
